Nombre,Apellido,Estado,Distrito,Exportaciones (dolares),Exportaciones (millones de dolares),Empleos 2018
Ralph,Abraham,Louisiana,5,331023200,331,1654
Alma,Adams,North Carolina,12,426295176,426,2283
Robert,Aderholt,Alabama,4,423961985.1,424,2326
Pete,Aguilar,California,31,468350881.6,468,2851
Rick,Allen,Georgia,12,276615211.1,277,1606
Colin,Allred,Texas,32,3763569066,3764,19276
Justin,Amash,Michigan,3,1391773841,1392,8750
Mark,Amodei,Nevada,2,454459898.4,454,2272
Kelly,Armstrong,North Dakota,0,310402879,310,2592
Jodey,Arrington,Texas,19,1519394162,1519,7953
Cindy,Axne,Iowa,3,248749257.5,249,1984
Brian,Babin,Texas,36,4043351635,4043,15948
Don,Bacon,Nebraska,2,248250327.1,248,1585
Jim,Baird,Indiana,4,802102204.5,802,4712
Troy,Balderson,Ohio,12,214944263.6,215,1221
Jim,Banks,Indiana,3,768279268.8,768,4623
Andy,Barr,Kentucky,6,551521793,552,3079
Nanette,Barragan,California,44,754507502.2,755,3696
Karen,Bass,California,37,282110919.8,282,1803
Joyce,Beatty,Ohio,3,71714243.28,72,416
Ami,Bera,California,7,246961605.6,247,1500
Jack,Bergman,Michigan,1,417443243.1,417,2560
Jaime Herrera,Beutler,Washington,3,142769662.2,143,942
Don,Beyer,Virginia,8,6046591.017,6,33
Andy,Biggs,Arizona,5,381453976.6,381,1911
Gus,Bilirakis,Florida,12,90962074.8,91,513
Sanford,Bishop,Georgia,2,336123494.2,336,1947
Rob,Bishop,Utah,1,321822736.7,322,1930
Earl,Blumenauer,Oregon,3,78595158.01,79,443
Lisa,Blunt Rochester,Delaware,0,160083300,160,794
Suzanne,Bonamici,Oregon,1,97024214.86,97,555
Mike,Bost,Illinois,12,614026480.6,614,3464
Brendan,Boyle,Pennsylvania,2,26654132.82,27,134
Kevin,Brady,Texas,8,1281554734,1282,6920
Anthony,Brindisi,New York,22,321368666,321,1649
Mo,Brooks,Alabama,5,342789238,343,1775
Susan,Brooks,Indiana,5,236170923.6,236,1327
Anthony,Brown,Maryland,4,34578655.11,35,197
Julia,Brownley,California,26,696772294.8,697,3842
Vern,Buchanan,Florida,16,109359874.7,109,656
Ken,Buck,Colorado,4,558810594.6,559,4111
Larry,Bucshon,Indiana,8,536180400.7,536,3121
Ted,Budd,North Carolina,13,115663440.1,116,647
Tim,Burchett,Tennessee,2,462482969.4,462,2359
Michael,Burgess,Texas,26,1611168321,1611,9058
Cheri,Bustos,Illinois,17,858394891.4,858,5382
G.K.,Butterfield,North Carolina,1,336018267.5,336,1911
Bradley,Byrne,Alabama,1,511576303.5,512,2404
Ken,Calvert,California,42,719207741.5,719,4328
Salud,Carbajal,California,24,521440358.6,521,3013
Tony,Cardenas,California,29,478298671.8,478,2756
André,Carson,Indiana,7,169034496,169,750
Buddy,Carter,Georgia,1,355884997,356,1764
John,Carter,Texas,31,2585354572,2585,13319
Matt,Cartwright,Pennsylvania,8,162974058.5,163,861
