,Name,Namelsad,AWATER,Mexican-American Population,Total Population,"State Exports to Mexico, 2019","State Imports from Mexico, 2019",Sen1,Sen2,"Exports to Mexico, 2019 (USD Million)",Representative,Party Affiliation,Rep and Party,"Total Jobs, 2019",District,"State Jobs, 2019",Nombre,Apellido
0,Connecticut,Congressional District 1,51291912,6803.0,713076.0,831941757,2952945201,Richard Blumenthal (D),Christopher Murphy (D),172.26430431351898,John Larson,Democrat,John Larson (D),954,Connecticut 1st,4839,John,Larson
1,Connecticut,Congressional District 3,68693984,14011.0,715728.0,831941757,2952945201,Richard Blumenthal (D),Christopher Murphy (D),182.14301395885732,Rosa DeLauro,Democrat,Rosa DeLauro (D),976,Connecticut 3rd,4839,Rosa,DeLauro
2,Connecticut,Congressional District 4,214325604,21072.0,735915.0,831941757,2952945201,Richard Blumenthal (D),Christopher Murphy (D),161.07432459372885,Jim Himes,Democrat,Jim Himes (D),746,Connecticut 4th,4839,Jim,Himes
3,Connecticut,Congressional District 5,88053659,8570.0,711761.0,831941757,2952945201,Richard Blumenthal (D),Christopher Murphy (D),194.78674181228013,Jahana Hayes,Democrat,Jahana Hayes (D),1035,Connecticut 5th,4839,Jahana,Hayes
4,Connecticut,Congressional District 2,297591677,6927.0,705024.0,831941757,2952945201,Richard Blumenthal (D),Christopher Murphy (D),215.0285053216137,Joe Courtney,Democrat,Joe Courtney (D),1128,Connecticut 2nd,4839,Joe,Courtney
5,Maine,Congressional District 1,4733548431,3309.0,679024.0,50617837,89645116,Susan Collins (R),Angus King (I),20.89688783707587,Chellie Pingree,Democrat,Chellie Pingree (D),109,Maine 1st,249,Chellie,Pingree
6,Maine,Congressional District 2,7013001333,2942.0,653789.0,50617837,89645116,Susan Collins (R),Angus King (I),28.856150162924067,Jared Golden,Democrat,Jared Golden (D),140,Maine 2nd,249,Jared,Golden
7,Massachusetts,Congressional District 1,129713573,5018.0,730959.0,1944130429,3064933315,Edward Markey (D),Elizabeth Warren (D),241.99673988603308,Richie Neal,Democrat,Richie Neal (D),1370,Massachusetts 1st,12721,Richie,Neal
8,Massachusetts,Congressional District 3,76095039,5592.0,763936.0,1944130429,3064933315,Edward Markey (D),Elizabeth Warren (D),535.5672460784236,Lori Trahan,Democrat,Lori Trahan (D),2549,Massachusetts 3rd,12721,Lori,Trahan
9,Massachusetts,Congressional District 5,58468410,7283.0,766241.0,1944130429,3064933315,Edward Markey (D),Elizabeth Warren (D),269.3286527075913,Katherine Clark,Democrat,Katherine Clark (D),1251,Massachusetts 5th,12721,Katherine,Clark
10,Massachusetts,Congressional District 4,86329577,4030.0,754622.0,1944130429,3064933315,Edward Markey (D),Elizabeth Warren (D),287.4282278978645,Joe Kennedy,Democrat,Joe Kennedy (D),1511,Massachusetts 4th,12721,Joe,Kennedy
11,Massachusetts,Congressional District 7,97438634,9544.0,795850.0,1944130429,3064933315,Edward Markey (D),Elizabeth Warren (D),45.36634346591132,Ayanna Pressley,Democrat,Ayanna Pressley (D),229,Massachusetts 7th,12721,Ayanna,Pressley
12,Massachusetts,Congressional District 2,221866012,5049.0,747493.0,1944130429,3064933315,Edward Markey (D),Elizabeth Warren (D),385.9023281590537,Jim McGovern,Democrat,Jim McGovern (D),2050,Massachusetts 2nd,12721,Jim,McGovern
13,Massachusetts,Congressional District 9,5148464984,3087.0,738604.0,1944130429,3064933315,Edward Markey (D),Elizabeth Warren (D),147.55199068763514,Bill Keating,Democrat,Bill Keating (D),821,Massachusetts 9th,12721,Bill,Keating
14,Massachusetts,Congressional District 6,864189658,4596.0,767907.0,1944130429,3064933315,Edward Markey (D),Elizabeth Warren (D),508.7029369316605,Seth Moulton,Democrat,Seth Moulton (D),2464,Massachusetts 6th,12721,Seth,Moulton
15,Massachusetts,Congressional District 8,447359599,3712.0,764581.0,1944130429,3064933315,Edward Markey (D),Elizabeth Warren (D),86.0089561858206,Stephen Lynch,Democrat,Stephen Lynch (D),476,Massachusetts 8th,12721,Stephen,Lynch
